0 [main] INFO org.apache.hadoop.yarn.client.api.impl.TimelineClientImpl  - Timeline service address: http://ip-172-31-52-6.ec2.internal:8188/ws/v1/timeline/
15 [main] INFO org.apache.hadoop.yarn.client.RMProxy  - Connecting to ResourceManager at ip-172-31-52-6.ec2.internal/172.31.52.6:8032
2251 [main] INFO org.apache.hadoop.mapreduce.lib.input.FileInputFormat  - Total input paths to process : 4
2266 [main] INFO com.hadoop.compression.lzo.GPLNativeCodeLoader  - Loaded native gpl library
2269 [main] INFO com.hadoop.compression.lzo.LzoCodec  - Successfully loaded & initialized native-lzo library [hadoop-lzo rev cb482944667f96f43c89932dcb66d61ee7e4ac1d]
3124 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - number of splits:106
3342 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - Submitting tokens for job: job_1508721381536_0001
3914 [main] INFO org.apache.hadoop.yarn.client.api.impl.YarnClientImpl  - Submitted application application_1508721381536_0001
4170 [main] INFO org.apache.hadoop.mapreduce.Job  - The url to track the job: http://ip-172-31-52-6.ec2.internal:20888/proxy/application_1508721381536_0001/
4171 [main] INFO org.apache.hadoop.mapreduce.Job  - Running job: job_1508721381536_0001
15360 [main] INFO org.apache.hadoop.mapreduce.Job  - Job job_1508721381536_0001 running in uber mode : false
		Reduce shuffle bytes=770317233
		Reduce input records=3074221
		Reduce output records=3074221
		Spilled Records=6148442
		Shuffled Maps =2014
		Failed Shuffles=0
		Merged Map outputs=2014
		GC time elapsed (ms)=94416
		CPU time spent (ms)=7561490
		Physical memory (bytes) snapshot=86452572160
		Virtual memory (bytes) snapshot=438561075200
		Total committed heap usage (bytes)=76083625984
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	acad.assignment3.CountData
		NumberOfPages=3074221
	File Input Format Counters 
		Bytes Read=7091193454
	File Output Format Counters 
		Bytes Written=1353494870
3074221
648726 [main] INFO org.apache.hadoop.yarn.client.api.impl.TimelineClientImpl  - Timeline service address: http://ip-172-31-52-6.ec2.internal:8188/ws/v1/timeline/
648726 [main] INFO org.apache.hadoop.yarn.client.RMProxy  - Connecting to ResourceManager at ip-172-31-52-6.ec2.internal/172.31.52.6:8032
648973 [main] INFO org.apache.hadoop.mapreduce.lib.input.FileInputFormat  - Total input paths to process : 19
649091 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - number of splits:19
649184 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - Submitting tokens for job: job_1508721381536_0002
649406 [main] INFO org.apache.hadoop.yarn.client.api.impl.YarnClientImpl  - Submitted application application_1508721381536_0002
649411 [main] INFO org.apache.hadoop.mapreduce.Job  - The url to track the job: http://ip-172-31-52-6.ec2.internal:20888/proxy/application_1508721381536_0002/
649411 [main] INFO org.apache.hadoop.mapreduce.Job  - Running job: job_1508721381536_0002
658504 [main] INFO org.apache.hadoop.mapreduce.Job  - Job job_1508721381536_0002 running in uber mode : false
658504 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 0% reduce 0%
669567 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 2% reduce 0%
672585 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 3% reduce 0%
674591 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 8% reduce 0%
675595 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 10% reduce 0%
676600 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 14% reduce 0%
677603 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 22% reduce 0%
678606 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 26% reduce 0%
679610 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 34% reduce 0%
680613 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 41% reduce 0%
681617 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 45% reduce 0%
682621 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 51% reduce 0%
683624 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 52% reduce 0%
684629 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 53% reduce 0%
685632 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 54% reduce 0%
689649 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 55% reduce 0%
691659 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 56% reduce 0%
692664 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 58% reduce 0%
693668 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 59% reduce 0%
694671 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 61% reduce 0%
695674 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 64% reduce 0%
696676 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 65% reduce 0%
697681 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 69% reduce 0%
698685 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 72% reduce 1%
700692 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 75% reduce 1%
701695 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 80% reduce 3%
702698 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 84% reduce 4%
703702 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 92% reduce 4%
